[2465028] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a76818a0cedfdb0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfdb0]
[2465029] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a76818a0cedfdb0] [LocalNewNodeAddr : 0x6a79018a0cedfc30] [RealNodeAddr : 0x0000000000000000]
[2465030] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a76818a0cedfdb0] [LocalNewNodeAddr : 0x6a79018a0cedfc30] [RealNodeAddr : 0x6a76818a0cedfdb0]
[2465031] [Thread ID : 10340] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a79018a0cedfc30] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfc30]
[2465032] [Thread ID : 10340] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a79018a0cedfc30] [LocalNewNodeAddr : 0x6a79818a0cedf8d0] [RealNodeAddr : 0x0000000000000000]
[2465033] [Thread ID : 10340] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a79018a0cedfc30] [LocalNewNodeAddr : 0x6a79818a0cedf8d0] [RealNodeAddr : 0x6a79018a0cedfc30]
[2465034] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a79818a0cedf8d0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465035] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a79818a0cedf8d0] [LocalNewNodeAddr : 0x6a7a018a0cedfb40] [RealNodeAddr : 0x0000000000000000]
[2465036] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a79818a0cedf8d0] [LocalNewNodeAddr : 0x6a7a018a0cedfb40] [RealNodeAddr : 0x6a79818a0cedf8d0]
[2465037] [Thread ID : 10340] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a7a018a0cedfb40] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfb40]
[2465038] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a78818a0cedfdb0] [LocalNewNodeAddr : 0x6a7b018a0cedfc30] [RealNodeAddr : 0x0000018a0cedfdb0]
[2465039] [Thread ID : 10340] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a7a018a0cedfb40] [LocalNewNodeAddr : 0x6a7a818a0cedfbd0] [RealNodeAddr : 0x0000000000000000]
[2465040] [Thread ID : 10340] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a7a018a0cedfb40] [LocalNewNodeAddr : 0x6a7a818a0cedfbd0] [RealNodeAddr : 0x6a7a018a0cedfb40]
